Playlist ID,Add new videos to top,Playlist Image 1 Create Timestamp,Playlist Image 1 URL,Playlist Image 1 Height,Playlist Image 1 Width,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PLK_frae4GNNNPad3dfrWCUZFBz3SFR3UH,False,2022-03-25T13:48:31.606945622+00:00,https://yt3.ggpht.com/2z958J_4sLVeL99FXtQQyoUmt8IbMA08XHylSCPPmN-5SvdNExs6Rl1EwzUQNZpi0WsPc-WCb_mK,1000,1000,My mix,,2021-06-01T13:58:21+00:00,2022-03-25T13:48:31+00:00,Manual,Unlisted
PLK_frae4GNNPFLkUxDSlBUdpTsaz3sSnR,False,,,,,Watch later,en_US,2017-01-08T11:34:43+00:00,2023-10-23T10:15:03+00:00,Manual,Private





